sourceClass,method,targetClass
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_twoVariableSubstitution,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_recursiveVariableSubstitution,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_setUserFileBufferBytesMaxInteger,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_setUserFileBufferBytes1GB,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_unset,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_toMap,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_toRawMap,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getCredentialsDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getDefaultDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getNestedCredentialsDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getNestedDefaultDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getTemplateCredentialsDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getCredentialsDisplayValueIdentical,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_extensionProperty,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_removedKeyThrowsException,alluxio_conf_InstancedConfiguration
alluxio_conf_ServerConfiguration,alluxio_conf_ServerConfiguration_loadWorkerClusterDefaults,alluxio_conf_InstancedConfiguration
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_downgradeWriteInodeToReadInode,alluxio_master_file_meta_LockedInodePath
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_clientFileInfoDirectory,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_createDirectory,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_createFilePerf,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_createFile,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteUnsyncedDirectory,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteDirectoryWithDirectories,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteDirectoryWithDirectoriesTest2,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteDirectoryWithFiles,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteDirectoryWithFilesTest2,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteEmptyDirectory,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_doDelete,alluxio_master_file_FileSystemMaster
alluxio_client_rest_JobMasterClientRestApiTest,alluxio_client_rest_JobMasterClientRestApiTest_before,alluxio_master_LocalAlluxioJobCluster
alluxio_server_ft_FlakyUfsIntegrationTest,alluxio_server_ft_FlakyUfsIntegrationTest_deletePartial,alluxio_hadoop_FileSystem
