sourceClass,method,targetClass
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testRemoveSensor,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testRemoveInactiveMetrics,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testRemoveMetric,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testDuplicateMetricName,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testQuotas,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testPercentiles,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_shouldPinSmallerValuesToMin,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_shouldPinLargerValuesToMax,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_network_SelectorTest,org_apache_kafka_common_network_SelectorTest_verifyChannelExpiry,org_apache_kafka_common_network_Selector
org_apache_kafka_connect_transforms_ExtractFieldTest,org_apache_kafka_connect_transforms_ExtractFieldTest_withSchema,org_apache_kafka_connect_transforms_ExtractField
org_apache_kafka_connect_transforms_ExtractFieldTest,org_apache_kafka_connect_transforms_ExtractFieldTest_testNullWithSchema,org_apache_kafka_connect_transforms_ExtractField
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testOptionalFieldStruct,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testOptionalStruct,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testOptionalNestedStruct,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testOptionalFieldMap,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testKey,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_connect_transforms_FlattenTest,org_apache_kafka_connect_transforms_FlattenTest_testUnsupportedTypeInMap,org_apache_kafka_connect_transforms_Flatten
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateStringToBytes,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateFieldEquals,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateClassHashCode,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateClassDuplicate,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateFieldDuplicate,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateClassToString,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateAccessor,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateFieldMutator,org_apache_kafka_message_CodeBuffer
org_apache_kafka_message_MessageDataGenerator,org_apache_kafka_message_MessageDataGenerator_generateSetter,org_apache_kafka_message_CodeBuffer
org_apache_kafka_clients_admin_KafkaAdminClient,org_apache_kafka_clients_admin_KafkaAdminClient_handleNotControllerError,org_apache_kafka_clients_admin_internals_AdminMetadataManager
org_apache_kafka_clients_admin_internals_AdminMetadataManager,org_apache_kafka_clients_admin_internals_AdminMetadataManager_clearController,org_apache_kafka_common_Cluster
org_apache_kafka_clients_admin_internals_AdminMetadataManagerTest,org_apache_kafka_clients_admin_internals_AdminMetadataManagerTest_testAuthenticationFailure,org_apache_kafka_clients_admin_internals_AdminMetadataManager
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testClusterConnectionStateChanges,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testMultipleNodeConnectionStates,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testAuthorizationFailed,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testRemoveNode,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testThrottled,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testIsPreparingConnection,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_MetadataTest,org_apache_kafka_clients_MetadataTest_testTimeToNextUpdateRetryBackoff,org_apache_kafka_clients_Metadata
org_apache_kafka_clients_MetadataTest,org_apache_kafka_clients_MetadataTest_testIgnoreLeaderEpochInOlderMetadataResponse,org_apache_kafka_clients_Metadata
