sourceClass,method,targetClass
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_dynamicRealmObjectThrows,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_cyclicType,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insert_nullPrimaryKey,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insert_list,io_realm_Realm
io_realm_internal_JNIQueryTest,io_realm_internal_JNIQueryTest_tearDown,io_realm_internal_OsSharedRealm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_mixingPrimaryKeyAndNoPrimaryKeyModels,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_mixingNoPrimaryKeyAndPrimaryKeyModels,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_mixingPrimaryAndNoPrimaryKeyList,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_managedObject,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_linkingManagedToUnmanagedObject,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertManagedObjectWillNotDuplicate,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_collectionOfManagedObjects,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_shouldNotClearRealmList,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_ownList,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insert_collectionOfManagedObjects,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_set_get_nullOnNullableFields,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_NaN,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_maxValue,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_minNormal,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_minValue,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_negativeInfinity,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_float_double_positiveInfinity,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealm_cyclicObjectReferencesWithPK,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealm_cyclicListReferences,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealm_primaryKeyIsSetDirectly,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealm_doNotCopyReferencedObjectIfManaged,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_stringPrimaryKeyFieldIsNull,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_boxedBytePrimaryKeyFieldIsNull,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_boxedShortPrimaryKeyFieldIsNull,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_boxedIntegerPrimaryKeyFieldIsNull,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_boxedLongPrimaryKeyFieldIsNull,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_overrideOwnList,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_cyclicObject,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_iterableChildObjects,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealmOrUpdate_bug4957,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_setter_updateField,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_callMutableMethodOutsideTransaction,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_createObjectWithPrimaryKey,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_createObjectWithPrimaryKey_null,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyToRealm_defaultValuesAreIgnored,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_defaultValuesAreIgnored,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_invalidObjectThrows,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_cyclicObjectGraph,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_checkMaxDepth,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_sameObjectDifferentDepths,io_realm_Realm
io_realm_RealmTests,io_realm_RealmTests_copyFromRealm_list_sameElements,io_realm_Realm
io_realm_internal_OsSharedRealmTests,io_realm_internal_OsSharedRealmTests_close_twice,io_realm_internal_OsSharedRealm
io_realm_MutableRealmIntegerTests,io_realm_MutableRealmIntegerTests_indexed,io_realm_Realm
io_realm_MutableRealmIntegerTests,io_realm_MutableRealmIntegerTests_isLive,io_realm_Realm
io_realm_MutableRealmIntegerTests,io_realm_MutableRealmIntegerTests_copyToIsLive,io_realm_Realm
io_realm_MutableRealmIntegerTests,io_realm_MutableRealmIntegerTests_copyFromIsNotLive,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_nullArray,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_dateAsLong,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_dateAsString,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_dateAsStringTimeZone,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_childObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_childObjectList,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_emptyChildObjectList,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_stringSimpleObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_stringNull,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_jsonArrayEmpty,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_jsonArray,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createFromJson_respectDefaultValues,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_updateFromJson_defaultValuesAreIgnored,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_noValues,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_jsonException,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createObjectFromJson_respectIgnoredFields,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_stringArraySimpleArray,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_stringArrayNull,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_stringEmptyArray,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_stringNullClass,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createAllFromJson_streamNull,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_streamNullValues,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_inputStream,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_objectWithPrimaryKeySetValueDirectlyFromStream,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_objectNullValues,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_inputString,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_withJsonObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_jsonObjectNullClass,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_nullJsonObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_invalidJsonObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_objectWithPrimaryKeySetValueDirectlyFromJsonObject,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateAllFromJson_jsonNullClass,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateAllFromJson_jsonNullJson,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateAllFromJson_inputStringNullClass,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateAllFromJson_inputStringNullJson,io_realm_Realm
io_realm_RealmJsonTests,io_realm_RealmJsonTests_createOrUpdateAllFromJson_inputStringEmptyJson,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_equals_mixedCustomMethod,io_realm_Realm
io_realm_RealmObjectTests,io_realm_RealmObjectTests_dateType,io_realm_Realm
io_realm_examples_arch_ArchExampleActivity,io_realm_examples_arch_ArchExampleActivity_setupViews,io_realm_examples_arch_BackgroundTask
io_realm_examples_json_JsonExampleActivity,io_realm_examples_json_JsonExampleActivity_loadJsonFromJsonObject,io_realm_Realm
io_realm_examples_json_JsonExampleActivity,io_realm_examples_json_JsonExampleActivity_loadJsonFromString,io_realm_Realm
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insertOrUpdate_nullTypes,io_realm_Realm
io_realm_examples_threads_AsyncQueryFragment,io_realm_examples_threads_AsyncQueryFragment_cancelAsyncTransaction,io_realm_RealmAsyncTask
io_realm_BulkInsertTests,io_realm_BulkInsertTests_insert_cyclicType,io_realm_Realm
