sourceClass,method,targetClass
alluxio_wire_WorkerInfoTest,alluxio_wire_WorkerInfoTest_createRandom,alluxio_wire_WorkerInfo
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getTrueBooleanUppercase,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getFalseBooleanMixcase,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getPositiveSyncInterval,alluxio_conf_InstancedConfiguration
alluxio_job_JobIntegrationTest,alluxio_job_JobIntegrationTest_before,alluxio_master_LocalAlluxioJobCluster
alluxio_job_master_JobMasterIntegrationTest,alluxio_job_master_JobMasterIntegrationTest_throttleJobWorkerTasks,alluxio_master_job_JobMaster
alluxio_job_master_JobMasterIntegrationTest,alluxio_job_master_JobMasterIntegrationTest_cancel,alluxio_master_job_JobMaster
alluxio_util_webui_UIFileInfo,alluxio_util_webui_UIFileInfo_UIFileInfo,alluxio_client_file_URIStatus
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMsMS,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_isSet,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMsSEC,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMs,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getPosiviteSyncIntervalS,alluxio_conf_InstancedConfiguration
alluxio_grpc_GrpcUtils,alluxio_grpc_GrpcUtils_fromProto,alluxio_wire_WorkerInfo
alluxio_underfs_UfsStatusCacheTest,alluxio_underfs_UfsStatusCacheTest_testDoubleRemove,alluxio_underfs_UfsStatusCache
alluxio_master_file_meta_CompositeInodeLockListTest,alluxio_master_file_meta_CompositeInodeLockListTest_extendFromInode,alluxio_master_file_meta_CompositeInodeLockList
alluxio_master_file_meta_SimpleInodeLockListTest,alluxio_master_file_meta_SimpleInodeLockListTest_doubleWriteLock,alluxio_master_file_meta_InodeLockList
alluxio_job_MasterWorkerInfo,alluxio_job_MasterWorkerInfo_generateClientWorkerInfo,alluxio_wire_WorkerInfo
alluxio_stress_cli_UfsIOBench,alluxio_stress_cli_UfsIOBench_cleanUp,alluxio_underfs_UnderFileSystemConfiguration
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_ttlExpiredCreateFile,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_listStatus,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterRestartIntegrationTest,alluxio_client_fs_FileSystemMasterRestartIntegrationTest_unavailableUfsRecursiveCreate,alluxio_underfs_UnderFileSystem
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getBytesGb,alluxio_conf_InstancedConfiguration
alluxio_master_file_PersistenceTest,alluxio_master_file_PersistenceTest_startServices,alluxio_master_block_BlockMasterFactory
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getList,alluxio_conf_InstancedConfiguration
alluxio_underfs_ObjectUnderFileSystem,alluxio_underfs_ObjectUnderFileSystem_getRetryPolicy,alluxio_underfs_ObjectUnderFileSystem
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMsM,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMsS,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getMsMIN,alluxio_conf_InstancedConfiguration
alluxio_master_StateLockOptions,alluxio_master_StateLockOptions_defaultsForDailyBackup,alluxio_conf_ServerConfiguration
alluxio_master_StateLockManager,alluxio_master_StateLockManager_StateLockManager,alluxio_conf_ServerConfiguration
alluxio_client_block_stream_GrpcBlockingStreamTest,alluxio_client_block_stream_GrpcBlockingStreamTest_cancel,alluxio_client_block_stream_GrpcBlockingStream
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_recursiveVariableSubstitution,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getTemplatedKey,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_extensionProperty,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getCredentialsDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getTemplateCredentialsDisplayValue,alluxio_conf_InstancedConfiguration
alluxio_master_file_meta_CompositeInodeLockList,alluxio_master_file_meta_CompositeInodeLockList_getLockMode,alluxio_master_file_meta_CompositeInodeLockListTest
alluxio_master_file_meta_InodeTreePersistentState,alluxio_master_file_meta_InodeTreePersistentState_applyAndJournal,alluxio_ProcessUtils
alluxio_master_file_meta_MutableInodeDirectory,alluxio_master_file_meta_MutableInodeDirectory_generateClientFileInfo,alluxio_wire_FileInfo
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_pathExistsWriteEdgeLock,alluxio_master_file_meta_LockedInodePath
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_writeEdgeLockRoot,alluxio_master_file_meta_LockedInodePath
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_readLockRoot,alluxio_master_file_meta_LockedInodePath
alluxio_master_file_meta_MountTableTest,alluxio_master_file_meta_MountTableTest_getMountTable,alluxio_master_file_meta_options_MountInfo
alluxio_master_SafeModeManagerTest,alluxio_master_SafeModeManagerTest_enterSafeModeOnRpcServerStart,alluxio_master_SafeModeManager
alluxio_master_LocalAlluxioMaster,alluxio_master_LocalAlluxioMaster_getClient,alluxio_master_MultiMasterLocalAlluxioCluster
alluxio_underfs_options_MkdirsOptionsTest,alluxio_underfs_options_MkdirsOptionsTest_defaults,alluxio_underfs_options_MkdirsOptions
alluxio_worker_block_RemoteBlockReader,alluxio_worker_block_RemoteBlockReader_init,alluxio_wire_WorkerNetAddress
alluxio_master_file_DefaultFileSystemMaster,alluxio_master_file_DefaultFileSystemMaster_getRootMountInfo,alluxio_conf_ServerConfiguration
alluxio_master_file_FileSystemMasterTest,alluxio_master_file_FileSystemMasterTest_createFileUsesOperationTime,alluxio_master_file_DefaultFileSystemMaster
alluxio_master_file_FileSystemMasterTest,alluxio_master_file_FileSystemMasterTest_startServices,alluxio_wire_WorkerNetAddress
alluxio_master_meta_AlluxioMasterRestServiceHandler,alluxio_master_meta_AlluxioMasterRestServiceHandler_getCapacityInternal,alluxio_wire_Capacity
alluxio_master_job_workflow_WorkflowTrackerTest,alluxio_master_job_workflow_WorkflowTrackerTest_testBasic,alluxio_master_job_workflow_WorkflowTracker
alluxio_cli_fsadmin_report_CapacityCommandTest,alluxio_cli_fsadmin_report_CapacityCommandTest_prepareShortInfoList,alluxio_wire_WorkerInfo
alluxio_master_table_AlluxioCatalogTest,alluxio_master_table_AlluxioCatalogTest_getDb,alluxio_master_table_DatabaseInfo
alluxio_master_table_AlluxioCatalogTest,alluxio_master_table_AlluxioCatalogTest_detachDb,alluxio_master_table_AlluxioCatalog
alluxio_client_fs_FileSystemIntegrationTest,alluxio_client_fs_FileSystemIntegrationTest_deleteNonemptyDirectory,alluxio_client_file_FileSystem
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_deleteDirectoryWithFilesTest2,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_ttlRename,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_renameNonexistent,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_renameToDeeper,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_renameExistingDst,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_ttlCreateFile,alluxio_master_file_FileSystemMaster
alluxio_server_ft_journal_MultiMasterJournalTest,alluxio_server_ft_journal_MultiMasterJournalTest_triggerAndWaitForCheckpoint,alluxio_master_MultiMasterLocalAlluxioCluster
alluxio_client_cli_fsadmin_pathconf_ListCommandIntegrationTest,alluxio_client_cli_fsadmin_pathconf_ListCommandIntegrationTest_setPathConfigurations,alluxio_client_file_FileSystemContext
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_downgradeWriteEdgeToRead,alluxio_master_file_meta_BaseInodeLockingTest
alluxio_client_file_options_OutStreamOptionsTest,alluxio_client_file_options_OutStreamOptionsTest_defaults,alluxio_client_file_options_OutStreamOptions
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_lastModificationTimeDelete,alluxio_master_file_FileSystemMaster
alluxio_client_fs_FileSystemIntegrationTest,alluxio_client_fs_FileSystemIntegrationTest_renameFileTest2,alluxio_client_file_FileSystem
alluxio_server_ft_journal_JournalBackupIntegrationTest,alluxio_server_ft_journal_JournalBackupIntegrationTest_backupDelegationProtocol,alluxio_multi_process_MultiProcessCluster
alluxio_server_ft_FlakyUfsIntegrationTest,alluxio_server_ft_FlakyUfsIntegrationTest_deletePartial,alluxio_client_file_FileSystem
alluxio_master_journal_raft_RaftJournalTest,alluxio_master_journal_raft_RaftJournalTest_subsequentCatchups,alluxio_master_journal_raft_RaftJournalSystem
alluxio_worker_JobWorker,alluxio_worker_JobWorker_start,alluxio_conf_ServerConfiguration
alluxio_master_file_async_DefaultAsyncPersistHandlerTest,alluxio_master_file_async_DefaultAsyncPersistHandlerTest_persistenceFileWithBlocksOnMultipleWorkers,alluxio_master_file_FileSystemMaster
alluxio_worker_block_BlockMasterClientPool,alluxio_worker_block_BlockMasterClientPool_BlockMasterClientPool,alluxio_conf_ServerConfiguration
alluxio_wire_FileInfoTest,alluxio_wire_FileInfoTest_checkEquality,alluxio_wire_FileInfo
alluxio_master_file_meta_LockedInodePathTest,alluxio_master_file_meta_LockedInodePathTest_missingMultipleReadLock,alluxio_master_file_meta_LockedInodePath
alluxio_client_fs_FileSystemMasterIntegrationTest,alluxio_client_fs_FileSystemMasterIntegrationTest_ufsModeCreateDirectory,alluxio_master_file_FileSystemMaster
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getZeroSyncInterval,alluxio_conf_InstancedConfiguration
alluxio_client_block_stream_GrpcBlockingStreamTest,alluxio_client_block_stream_GrpcBlockingStreamTest_close,alluxio_client_block_stream_GrpcBlockingStream
alluxio_server_ft_journal_JournalCheckpointIntegrationTest,alluxio_server_ft_journal_JournalCheckpointIntegrationTest_backupAndRestore,alluxio_conf_ServerConfiguration
alluxio_master_file_PermissionCheckTest,alluxio_master_file_PermissionCheckTest_getNonDefaultCompleteFileContext,alluxio_master_file_contexts_CompleteFileContext
alluxio_master_file_meta_SimpleInodeLockListTest,alluxio_master_file_meta_SimpleInodeLockListTest_downgradeLastEdge,alluxio_master_file_meta_InodeLockList
alluxio_master_journal_ufs_UfsJournalTest,alluxio_master_journal_ufs_UfsJournalTest_suspendNotAllowedOnPrimary,alluxio_master_journal_ufs_UfsJournal
alluxio_client_fs_LoadMetadataIntegrationTest,alluxio_client_fs_LoadMetadataIntegrationTest_loadNonexistentSubpath,alluxio_client_file_URIStatus
alluxio_collections_DirectedAcyclicGraphTest,alluxio_collections_DirectedAcyclicGraphTest_simpleGraph,alluxio_collections_DirectedAcyclicGraph
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getFalseBoolean,alluxio_conf_InstancedConfiguration
alluxio_conf_InstancedConfigurationTest,alluxio_conf_InstancedConfigurationTest_getTrueBooleanMixcase,alluxio_conf_InstancedConfiguration
alluxio_master_backup_BackupTracker,alluxio_master_backup_BackupTracker_getCurrentStatus,alluxio_wire_BackupStatus
