sourceClass,method,targetClass
com_google_security_zynamics_binnavi_API_debug_BookmarkTest,com_google_security_zynamics_binnavi_API_debug_BookmarkTest_testConstructor,com_google_security_zynamics_binnavi_API_debug_Bookmark
com_google_security_zynamics_binnavi_API_debug_BookmarkManagerTest,com_google_security_zynamics_binnavi_API_debug_BookmarkManagerTest_testAddBookmark,com_google_security_zynamics_binnavi_API_debug_BookmarkManager
com_google_security_zynamics_binnavi_API_debug_BreakpointTest,com_google_security_zynamics_binnavi_API_debug_BreakpointTest_testConstructor,com_google_security_zynamics_binnavi_API_debug_Breakpoint
com_google_security_zynamics_binnavi_API_debug_BreakpointManagerTest,com_google_security_zynamics_binnavi_API_debug_BreakpointManagerTest_testRemoveEchoBreakpoint,com_google_security_zynamics_binnavi_API_debug_BreakpointManager
com_google_security_zynamics_binnavi_API_debug_ThreadTest,com_google_security_zynamics_binnavi_API_debug_ThreadTest_testConstructor,com_google_security_zynamics_binnavi_API_debug_Thread
com_google_security_zynamics_binnavi_API_disassembly_FunctionTest,com_google_security_zynamics_binnavi_API_disassembly_FunctionTest_testSetName,com_google_security_zynamics_binnavi_API_disassembly_Function
com_google_security_zynamics_binnavi_API_disassembly_ModuleTest,com_google_security_zynamics_binnavi_API_disassembly_ModuleTest_testSetDebuggerTemplate,com_google_security_zynamics_binnavi_API_disassembly_Module
com_google_security_zynamics_binnavi_API_disassembly_ViewNodeTest,com_google_security_zynamics_binnavi_API_disassembly_ViewNodeTest_testBorderColor,com_google_security_zynamics_binnavi_API_disassembly_ViewNode
com_google_security_zynamics_binnavi_API_disassembly_ViewTest,com_google_security_zynamics_binnavi_API_disassembly_ViewTest_testDeleteEdge,com_google_security_zynamics_binnavi_API_disassembly_View
com_google_security_zynamics_binnavi_API_disassembly_ViewTest,com_google_security_zynamics_binnavi_API_disassembly_ViewTest_testConstructor,com_google_security_zynamics_binnavi_API_disassembly_View
com_google_security_zynamics_binnavi_config_ConfigManager,com_google_security_zynamics_binnavi_config_ConfigManager_updateGraphSettings,com_google_security_zynamics_binnavi_config_GraphSettingsConfigItem
com_google_security_zynamics_binnavi_Database_CDatabase,com_google_security_zynamics_binnavi_Database_CDatabase_loadUserManager,com_google_security_zynamics_binnavi_Gui_Users_CUserManager
com_google_security_zynamics_binnavi_Database_PostgreSQL_PostgreSQLTypeInstanceFunctionsTests,com_google_security_zynamics_binnavi_Database_PostgreSQL_PostgreSQLTypeInstanceFunctionsTests_deleteTypeInstanceTest3,com_google_security_zynamics_binnavi_disassembly_INaviModule
com_google_security_zynamics_binnavi_Database_PostgreSQL_PostgreSQLTypeInstanceFunctionsTests,com_google_security_zynamics_binnavi_Database_PostgreSQL_PostgreSQLTypeInstanceFunctionsTests_setTypeInstanceNameTest4,com_google_security_zynamics_binnavi_disassembly_INaviModule
com_google_security_zynamics_binnavi_debug_debugger_TcpDebugger,com_google_security_zynamics_binnavi_debug_debugger_TcpDebugger_getPrintableString,com_google_security_zynamics_binnavi_debug_debugger_DebuggerTemplate
com_google_security_zynamics_binnavi_disassembly_CInstruction,com_google_security_zynamics_binnavi_disassembly_CInstruction_getGlobalComment,com_google_security_zynamics_binnavi_disassembly_CommentManager
com_google_security_zynamics_binnavi_disassembly_CProjectContainer,com_google_security_zynamics_binnavi_disassembly_CProjectContainer_getTaggedViews,com_google_security_zynamics_binnavi_disassembly_INaviProject
com_google_security_zynamics_binnavi_disassembly_MockCreator,com_google_security_zynamics_binnavi_disassembly_MockCreator_createView,com_google_security_zynamics_binnavi_Database_CModuleViewGenerator
com_google_security_zynamics_binnavi_disassembly_MockFunction,com_google_security_zynamics_binnavi_disassembly_MockFunction_MockFunction,com_google_security_zynamics_binnavi_disassembly_functions_FunctionManager
com_google_security_zynamics_binnavi_disassembly_Modules_CModuleTest,com_google_security_zynamics_binnavi_disassembly_Modules_CModuleTest_testCreateOperand,com_google_security_zynamics_binnavi_disassembly_Modules_CModule
com_google_security_zynamics_binnavi_disassembly_Modules_CModuleTest,com_google_security_zynamics_binnavi_disassembly_Modules_CModuleTest_testGetViewsWithAddresses,com_google_security_zynamics_zylib_types_lists_FilledList
com_google_security_zynamics_binnavi_disassembly_Modules_MockModule,com_google_security_zynamics_binnavi_disassembly_Modules_MockModule_MockModule,com_google_security_zynamics_binnavi_disassembly_Modules_MockModuleConfiguration
com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest,com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest_testMoveMemberInBetween,com_google_security_zynamics_binnavi_disassembly_types_TypeMember
com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest,com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest_testGetValueType2,com_google_security_zynamics_binnavi_disassembly_types_BaseType
com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest,com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest_testGetPointerLevel,com_google_security_zynamics_binnavi_disassembly_types_BaseType
com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest,com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest_testMoveMembersToBeginning,com_google_security_zynamics_binnavi_disassembly_types_TypeMember
com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest,com_google_security_zynamics_binnavi_disassembly_types_BaseTypeTest_testMoveMembersToEnd,com_google_security_zynamics_binnavi_disassembly_types_TypeMember
com_google_security_zynamics_binnavi_disassembly_types_TypeDependenceGraphTests,com_google_security_zynamics_binnavi_disassembly_types_TypeDependenceGraphTests_testAddType,com_google_security_zynamics_binnavi_yfileswrap_disassembly_types_TypeDependenceGraph
