sourceClass,method,targetClass
org_apache_kafka_clients_admin_internals_AdminMetadataManager,org_apache_kafka_clients_admin_internals_AdminMetadataManager_clearController,org_apache_kafka_common_Cluster
org_apache_kafka_clients_NetworkClientTest,org_apache_kafka_clients_NetworkClientTest_sendEmptyProduceRequest,org_apache_kafka_clients_NetworkClient
org_apache_kafka_clients_producer_internals_TransactionManagerTest,org_apache_kafka_clients_producer_internals_TransactionManagerTest_testBumpEpochAfterTimeoutWithoutPendingInflightRequests,org_apache_kafka_clients_producer_internals_TransactionManager
org_apache_kafka_common_metrics_MetricsTest,org_apache_kafka_common_metrics_MetricsTest_testPercentilesWithRandomNumbersAndLinearBucketing,org_apache_kafka_common_metrics_Metrics
org_apache_kafka_common_requests_RequestResponseTest,org_apache_kafka_common_requests_RequestResponseTest_createFetchResponse,org_apache_kafka_common_record_SimpleRecord
org_apache_kafka_connect_storage_KafkaStatusBackingStoreFormatTest,org_apache_kafka_connect_storage_KafkaStatusBackingStoreFormatTest_deleteTopicStatus,org_apache_kafka_connect_storage_KafkaStatusBackingStore
org_apache_kafka_connect_transforms_util_SchemaUtil,org_apache_kafka_connect_transforms_util_SchemaUtil_copySchemaBasics,org_apache_kafka_connect_data_Schema
org_apache_kafka_streams_StreamsBuilder,org_apache_kafka_streams_StreamsBuilder_globalTable,org_apache_kafka_streams_kstream_internals_ConsumedInternal
org_apache_kafka_streams_processor_internals_assignment_ClientStateTest,org_apache_kafka_streams_processor_internals_assignment_ClientStateTest_shouldAddPreviousStandbyTasksToPreviousAssignedAndPreviousStandby,org_apache_kafka_streams_processor_internals_assignment_ClientState
org_apache_kafka_streams_Topology,org_apache_kafka_streams_Topology_addSource,org_apache_kafka_streams_processor_internals_InternalTopologyBuilder
org_apache_kafka_common_errors_UnknownTopicOrPartitionException,org_apache_kafka_common_errors_UnknownTopicOrPartitionException_UnknownTopicOrPartitionException,org_apache_kafka_common_errors_InvalidMetadataException
org_apache_kafka_streams_processor_internals_assignment_ClientStateTest,org_apache_kafka_streams_processor_internals_assignment_ClientStateTest_shouldHaveAssignedTaskIfActiveTaskAssigned,org_apache_kafka_streams_processor_internals_assignment_ClientState
org_apache_kafka_streams_processor_internals_assignment_ClientStateTest,org_apache_kafka_streams_processor_internals_assignment_ClientStateTest_shouldReturnLatestOffsetForLagOfPreviousActiveRunningTask,org_apache_kafka_streams_processor_internals_assignment_ClientState
org_apache_kafka_clients_admin_DeleteAclsResult,org_apache_kafka_clients_admin_DeleteAclsResult_all,org_apache_kafka_common_KafkaFuture
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testRemoveNode,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_ClusterConnectionStatesTest,org_apache_kafka_clients_ClusterConnectionStatesTest_testAuthorizationFailed,org_apache_kafka_clients_ClusterConnectionStates
org_apache_kafka_clients_MetadataTest,org_apache_kafka_clients_MetadataTest_testNoEpoch,org_apache_kafka_clients_Metadata
org_apache_kafka_clients_MetadataTest,org_apache_kafka_clients_MetadataTest_testTimeToNextUpdateRetryBackoff,org_apache_kafka_clients_Metadata
