sourceClass,method,targetClass
io_realm_internal_OsSharedRealmTests,io_realm_internal_OsSharedRealmTests_hasTable,io_realm_internal_OsSharedRealm
io_realm_RealmResults,io_realm_RealmResults_asFlowable,io_realm_rx_RxObservableFactory
io_realm_internal_TableIndexAndDistinctTest,io_realm_internal_TableIndexAndDistinctTest_tearDown,io_realm_internal_OsSharedRealm
io_realm_internal_OsSharedRealmTests_renameTable,io_realm_internal_OsSharedRealmTests_renameTable_tableNotExist,io_realm_internal_OsSharedRealm
io_realm_ManagedOrderedRealmCollectionTests,io_realm_ManagedOrderedRealmCollectionTests_runMethodOnWrongThread,io_realm_BaseRealm
io_realm_RealmJsonTests_createObjectFromJson,io_realm_RealmJsonTests_createObjectFromJson_objectIdAsString,io_realm_Realm
io_realm_RealmJsonTests_createObjectFromJson,io_realm_RealmJsonTests_createObjectFromJson_emptyChildObjectList,io_realm_Realm
io_realm_RealmJsonTests_createObjectFromJson,io_realm_RealmJsonTests_createObjectFromJson_objectWithPrimaryKeySetValueDirectlyFromJsonObject,io_realm_Realm
io_realm_RealmObjectSchemaTests_renameField,io_realm_RealmObjectSchemaTests_renameField_withPrimaryKey,io_realm_RealmObjectSchema
io_realm_RealmQueryTests,io_realm_RealmQueryTests_populateTestRealm,io_realm_entities_AllTypes
io_realm_RealmTests,io_realm_RealmTests_populateTestRealm,io_realm_entities_AllTypes
io_realm_RealmSchemaTests_remove,io_realm_RealmSchemaTests_remove_shouldRemoveInfoFromPKTable,io_realm_RealmSchema
io_realm_RealmQuery,io_realm_RealmQuery_greaterThanOrEqualTo,io_realm_BaseRealm
io_realm_RealmQuery,io_realm_RealmQuery_greaterThan,io_realm_BaseRealm
io_realm_internal_JNITableInsertTest,io_realm_internal_JNITableInsertTest_tearDown,io_realm_internal_OsSharedRealm
io_realm_internal_RealmProxyMediator,io_realm_internal_RealmProxyMediator_getModelClasses,io_realm_internal_RealmProxyMediator
io_realm_RealmQuery,io_realm_RealmQuery_equalTo,io_realm_BaseRealm
io_realm_examples_unittesting_ExampleActivity,io_realm_examples_unittesting_ExampleActivity_cleanUp,io_realm_Realm
io_realm_RealmJsonTests_createOrUpdateObjectFromJson,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_jsonObjectNullClass,io_realm_Realm
io_realm_OrderedRealmCollection,io_realm_OrderedRealmCollection_deleteLastFromRealm,io_realm_ManagedOrderedRealmCollectionTests
io_realm_RealmQuery,io_realm_RealmQuery_notEqualTo,io_realm_BaseRealm
io_realm_RealmQuery,io_realm_RealmQuery_between,io_realm_BaseRealm
io_realm_BaseRealm,io_realm_BaseRealm_freeze,io_realm_RealmObject
io_realm_internal_OsSharedRealmTests,io_realm_internal_OsSharedRealmTests_renameTable,io_realm_internal_OsSharedRealm
io_realm_entities_AllTypesPrimaryKey,io_realm_entities_AllTypesPrimaryKey_getColumnDouble,io_realm_RealmJsonTests_createOrUpdateObjectFromJson
io_realm_entities_CyclicType,io_realm_entities_CyclicType_CyclicType,io_realm_RealmListTests_set
io_realm_RealmLinkTests,io_realm_RealmLinkTests_linkIsNull,io_realm_BaseRealm
io_realm_entities_NullTypes,io_realm_entities_NullTypes_getFieldByteNull,io_realm_RealmObjectTests_set_get
io_realm_examples_unittesting_ExampleActivity,io_realm_examples_unittesting_ExampleActivity_onDestroy,io_realm_BaseRealm
io_realm_examples_json_JsonExampleActivity,io_realm_examples_json_JsonExampleActivity_loadJsonFromStream,io_realm_BaseRealm
io_realm_RealmObject,io_realm_RealmObject_asFlowable,io_realm_rx_RxObservableFactory
io_realm_entities_AllTypesPrimaryKey,io_realm_entities_AllTypesPrimaryKey_getColumnBinary,io_realm_RealmJsonTests_createOrUpdateObjectFromJson
io_realm_entities_NullTypes,io_realm_entities_NullTypes_getFieldDateNull,io_realm_BulkInsertTests_insertOrUpdate
io_realm_entities_PrimaryKeyAsString,io_realm_entities_PrimaryKeyAsString_PrimaryKeyAsString,io_realm_BulkInsertTests_insert
io_realm_entities_PrimaryKeyAsBoxedShort,io_realm_entities_PrimaryKeyAsBoxedShort_PrimaryKeyAsBoxedShort,io_realm_BulkInsertTests_insert
io_realm_LinkingObjectsUnmanagedTests,io_realm_LinkingObjectsUnmanagedTests_copyToAndFromRealm,io_realm_entities_AllJavaTypes
